condition,feature_id,direction,confirmed,analysis_length_label,rank,token_id,token_text,activation_mass,within_label_mass_share
full_token_uniform,10807,short,False,long,11,4392, Mr,4.78125,0.0009867649346953485
full_token_uniform,10807,short,False,long,12,9640,[\n,4.7265625,0.0009754784076645192
full_token_uniform,10807,short,False,long,13,54815,Therefore,4.4375,0.0009158210505015652
full_token_uniform,10807,short,False,long,14,374, is,3.82421875,0.0007892507116558383
full_token_uniform,10807,short,False,long,15,8471, starts,3.3125,0.0006836410658673656
full_token_uniform,10807,short,False,long,16,198,\n,3.125,0.0006449444017616657
full_token_uniform,10807,short,False,long,17,15,0,3.09375,0.000638494957744049
full_token_uniform,10807,short,False,long,18,481, -,2.9609375,0.0006110848206691781
full_token_uniform,10807,short,False,long,19,12,-,2.7421875,0.0005659387125458616
full_token_uniform,10807,short,False,long,20,11520,(\,2.546875,0.0005256296874357575
full_token_uniform,14905,short,False,short,1,16141,Answer,5257.3125,0.5864299576562532
full_token_uniform,14905,short,False,short,2,25,:,3570.4296875,0.3982656405635492
full_token_uniform,14905,short,False,short,3,553, by,13.375,0.0014919220958716807
full_token_uniform,14905,short,False,short,4,14289, listening,11.4375,0.0012758025399276522
full_token_uniform,14905,short,False,short,5,21806, Answer,9.125,0.0010178533925105859
full_token_uniform,14905,short,False,short,6,1124, \,9.0859375,0.001013496143398811
full_token_uniform,14905,short,False,short,7,13,.,7.8203125,0.0008723212721773087
full_token_uniform,14905,short,False,short,8,11,",",7.453125,0.0008313631305266259
full_token_uniform,14905,short,False,short,9,8704, Since,6.75,0.00075293264651468
full_token_uniform,14905,short,False,short,10,15,0,6.453125,0.0007198175532651918
full_token_uniform,14905,short,False,short,11,4226, answer,6.09375,0.0006797308614368639
full_token_uniform,14905,short,False,short,12,92,},5.7421875,0.0006405156194308909
full_token_uniform,14905,short,False,short,13,12684, votes,5.6953125,0.0006352869204967613
full_token_uniform,14905,short,False,short,14,4303, running,5.296875,0.0005908429795566586
full_token_uniform,14905,short,False,short,15,7571, girls,5.125,0.0005716710834648497
full_token_uniform,14905,short,False,short,16,18,3,4.875,0.0005437846891494911
full_token_uniform,14905,short,False,short,17,256,  ,4.4140625,0.0004923691496305488
full_token_uniform,14905,short,False,short,18,220, ,4.2578125,0.0004749401531834498
full_token_uniform,14905,short,False,short,19,32191, loses,2.765625,0.0003084932371136536
full_token_uniform,14905,short,False,short,20,19558, hitting,2.65625,0.0002962929396006843
full_token_uniform,14905,short,False,long,1,16141,Answer,5346.6875,0.5846803922724481
full_token_uniform,14905,short,False,long,2,25,:,3523.21875,0.38527722460152086
full_token_uniform,14905,short,False,long,3,4226, answer,40.640625,0.004444205233090107
full_token_uniform,14905,short,False,long,4,1124, \,40.109375,0.004386111047036641
full_token_uniform,14905,short,False,long,5,21806, Answer,31.90625,0.003489068468269895
full_token_uniform,14905,short,False,long,6,14289, listening,13.171875,0.0014403940836197461
full_token_uniform,14905,short,False,long,7,4303, running,10.953125,0.0011977654242199787
full_token_uniform,14905,short,False,long,8,510,:\n,10.265625,0.0011225847128566704
full_token_uniform,14905,short,False,long,9,13,.,9.1796875,0.0010038333619532631
full_token_uniform,14905,short,False,long,10,284, =,7.96875,0.0008714127908019817
full_token_uniform,14905,short,False,long,11,553, by,7.34375,0.0008030666895626105
full_token_uniform,14905,short,False,long,12,8704, Since,6.8203125,0.0007458268297746372
full_token_uniform,14905,short,False,long,13,20,5,5.7734375,0.0006313471101986907
full_token_uniform,14905,short,False,long,14,23606, equation,5.7109375,0.0006245125000747536
full_token_uniform,14905,short,False,long,15,11236, selling,5.5625,0.0006082803010304029
full_token_uniform,14905,short,False,long,16,315, of,5.5390625,0.0006057173222339265
full_token_uniform,14905,short,False,long,17,256,  ,5.3125,0.0005809418605346545
full_token_uniform,14905,short,False,long,18,11,",",5.03125,0.0005501861149769375
full_token_uniform,14905,short,False,long,19,32191, loses,4.984375,0.0005450601573839846
full_token_uniform,14905,short,False,long,20,7571, girls,4.75,0.0005194303694192205
full_token_uniform,987,short,True,short,1,16141,Answer,5629.125,0.5843963716113627
full_token_uniform,987,short,True,short,2,25,:,3919.2421875,0.4068822266055879
full_token_uniform,987,short,True,short,3,66229, seaw,9.46875,0.0009830130160007268
full_token_uniform,987,short,True,short,4,61183, aquarium,9.046875,0.000939215406376932
full_token_uniform,987,short,True,short,5,21806, Answer,8.25,0.000856486588198653
full_token_uniform,987,short,True,short,6,705, up,6.96875,0.0007234716256374986
full_token_uniform,987,short,True,short,7,84038, oranges,6.8828125,0.0007145498903437626
full_token_uniform,987,short,True,short,8,3564,New,4.234375,0.00043959822992771774
full_token_uniform,987,short,True,short,9,1532, New,3.703125,0.0003844456844755317
full_token_uniform,987,short,True,short,10,4226, answer,3.34375,0.00034713660961081767
full_token_uniform,987,short,True,short,11,315, of,3.1796875,0.00033010420586823084
full_token_uniform,987,short,True,short,12,10657, Total,3.0703125,0.0003187492700398396
full_token_uniform,987,short,True,short,13,1657, many,2.9609375,0.0003073943342114484
full_token_uniform,987,short,True,short,14,18805, eggs,2.78125,0.00028873979677909137
full_token_uniform,987,short,True,short,15,23268, apple,2.5625,0.0002660299251223089
full_token_uniform,987,short,True,short,16,1318,text,2.5078125,0.00026035245720811326
full_token_uniform,987,short,True,short,17,16753,groups,2.34375,0.0002433200534655264
full_token_uniform,987,short,True,short,18,7589, Tuesday,2.25,0.00023358725132690536
full_token_uniform,987,short,True,short,19,700, out,2.046875,0.00021249951335989306
full_token_uniform,987,short,True,short,20,19120, golf,1.8515625,0.00019222284223776586
full_token_uniform,987,short,True,long,1,16141,Answer,5650.3125,0.5826209403265461
full_token_uniform,987,short,True,long,2,25,:,3884.84375,0.4005780775216779
full_token_uniform,987,short,True,long,3,21806, Answer,27.84375,0.0028710539120123477
full_token_uniform,987,short,True,long,4,4226, answer,19.921875,0.0020542052400761746
full_token_uniform,987,short,True,long,5,256,  ,12.8515625,0.0013251637725197284
full_token_uniform,987,short,True,long,6,510,:\n,10.15625,0.0010472418870976577
full_token_uniform,987,short,True,long,7,374, is,8.15625,0.0008410157924076575
full_token_uniform,987,short,True,long,8,3470,/b,7.4609375,0.0007693200016755871
full_token_uniform,987,short,True,long,9,700, out,6.484375,0.0006686236663777354
full_token_uniform,987,short,True,long,10,1134,ages,5.1015625,0.0005260376555959773
full_token_uniform,987,short,True,long,11,11,",",4.796875,0.0004946203989830475
full_token_uniform,987,short,True,long,12,84038, oranges,4.59375,0.0004736755612410944
full_token_uniform,987,short,True,long,13,1657, many,4.171875,0.0004301747443924225
full_token_uniform,987,short,True,long,14,5274, leave,3.9375,0.0004060076239209381
full_token_uniform,987,short,True,long,15,432, it,3.734375,0.0003850627861789849
full_token_uniform,987,short,True,long,16,15,0,3.6484375,0.000376201508672774
full_token_uniform,987,short,True,long,17,672,aw,3.515625,0.00036250680707226613
full_token_uniform,987,short,True,long,18,18805, eggs,3.40625,0.00035122881751890677
full_token_uniform,987,short,True,long,19,1447,:\n\n,3.34375,0.00034478425205984424
full_token_uniform,987,short,True,long,20,13,.,3.03125,0.0003125614247645317
full_token_uniform,11983,short,True,short,1,16141,Answer,3033.40625,0.9658498847649716
full_token_uniform,11983,short,True,short,2,256,  ,12.78125,0.004069606186000405
full_token_uniform,11983,short,True,short,3,63514, tails,10.796875,0.0034377724627460637
full_token_uniform,11983,short,True,short,4,16,1,9.03125,0.002875589701110311
full_token_uniform,11983,short,True,short,5,1635, years,8.40625,0.0026765869536286287
full_token_uniform,11983,short,True,short,6,11,",",8.0390625,0.00255967283948314
full_token_uniform,11983,short,True,short,7,315, of,7.484375,0.0023830579010931468
full_token_uniform,11983,short,True,short,8,21806, Answer,4.6875,0.0014925206061126182
full_token_uniform,11983,short,True,short,9,21,6,4.2265625,0.0013457560798448773
full_token_uniform,11983,short,True,short,10,24,9,3.9765625,0.0012661549808522044
full_token_uniform,11983,short,True,short,11,60677, pies,3.7421875,0.0011915289505465734
full_token_uniform,11983,short,True,short,12,2750, values,3.6796875,0.0011716286757984052
full_token_uniform,11983,short,True,short,13,576, The,3.59375,0.001144265798019674
full_token_uniform,11983,short,True,short,14,1124, \,3.109375,0.00099003866872137
full_token_uniform,11983,short,True,short,15,369, for,2.375,0.0007562104404303932
full_token_uniform,11983,short,True,short,16,1096, This,2.328125,0.000741285234369267
full_token_uniform,11983,short,True,short,17,90,{,1.953125,0.0006218835858802576
full_token_uniform,11983,short,True,short,18,305, h,1.953125,0.0006218835858802576
full_token_uniform,11983,short,True,short,19,20332, balls,1.8984375,0.0006044708454756104
full_token_uniform,11983,short,True,short,20,624,.\n,1.8828125,0.0005994957767885683
full_token_uniform,11983,short,True,long,1,16141,Answer,2982.59375,0.9610431783711666
full_token_uniform,11983,short,True,long,2,21806, Answer,12.53125,0.004037785008086898
full_token_uniform,11983,short,True,long,3,256,  ,12.21875,0.00393709211511715
full_token_uniform,11983,short,True,long,4,16,1,12.1484375,0.003914436214198957
full_token_uniform,11983,short,True,long,5,63514, tails,10.796875,0.003478939452104796
full_token_uniform,11983,short,True,long,6,1635, years,8.4375,0.0027187081101831983
full_token_uniform,11983,short,True,long,7,90,{,7.359375,0.002371317629437567
full_token_uniform,11983,short,True,long,8,1124, \,7.0859375,0.002283211348089038
full_token_uniform,11983,short,True,long,9,220, ,6.9453125,0.002237899546252651
full_token_uniform,11983,short,True,long,10,315, of,6.7578125,0.002177483810470802
full_token_uniform,11983,short,True,long,11,825, one,3.78125,0.0012183840049339518
full_token_uniform,11983,short,True,long,12,25,:,3.1953125,0.0010295848306156742
full_token_uniform,11983,short,True,long,13,11,",",3.109375,0.0010018942850489934
full_token_uniform,11983,short,True,long,14,7716, detail,2.65625,0.0008558895902428587
full_token_uniform,11983,short,True,long,15,296, m,2.359375,0.000760231341921598
full_token_uniform,11983,short,True,long,16,481, -,2.3359375,0.0007526793749488669
full_token_uniform,11983,short,True,long,17,369, for,2.171875,0.0006998156061397492
full_token_uniform,11983,short,True,long,18,2790, total,2.171875,0.0006998156061397492
full_token_uniform,11983,short,True,long,19,1096, This,2.109375,0.0006796770275457996
full_token_uniform,11983,short,True,long,20,15,0,2.09375,0.0006746423828973121
full_token_uniform,17531,short,False,short,1,16141,Answer,4561.5625,0.6131396365980978
full_token_uniform,17531,short,False,short,2,25,:,2646.359375,0.35570877862475175
full_token_uniform,17531,short,False,short,3,382,.\n\n,129.484375,0.017404563158486114
full_token_uniform,17531,short,False,short,4,21806, Answer,9.4375,0.0012685357967570428
full_token_uniform,17531,short,False,short,5,284, =,6.859375,0.0009219986999608308
full_token_uniform,17531,short,False,short,6,5107, additional,6.734375,0.0009051969013282872
full_token_uniform,17531,short,False,short,7,4238, friend,6.515625,0.0008757937537213359
full_token_uniform,17531,short,False,short,8,315, of,5.3671875,0.0007214272287848414
full_token_uniform,17531,short,False,short,9,18,3,4.453125,0.0005985640762843662
full_token_uniform,17531,short,False,short,10,4226, answer,4.40625,0.0005922634017971624
full_token_uniform,17531,short,False,short,11,3491, problem,4.3125,0.0005796620528227546
full_token_uniform,17531,short,False,short,12,198,\n,3.6484375,0.0004904024975873667
full_token_uniform,17531,short,False,short,13,279, the,3.453125,0.00046414968722401735
full_token_uniform,17531,short,False,short,14,42932, elimination,3.453125,0.00046414968722401735
full_token_uniform,17531,short,False,short,15,8356, fixed,3.40625,0.0004578490127368135
full_token_uniform,17531,short,False,short,16,271,\n\n,3.375,0.00045364856307867756
full_token_uniform,17531,short,False,short,17,6292,uate,3.359375,0.0004515483382496096
full_token_uniform,17531,short,False,short,18,481, -,3.171875,0.0004263456403007942
full_token_uniform,17531,short,False,short,19,2533,]\n\n,2.6171875,0.0003517876588688819
full_token_uniform,17531,short,False,short,20,14374,###,2.59375,0.00034863732162527996
full_token_uniform,17531,short,False,long,1,16141,Answer,4673.03125,0.5926731814860229
full_token_uniform,17531,short,False,long,2,25,:,2711.015625,0.3438338349496526
full_token_uniform,17531,short,False,long,3,382,.\n\n,173.8984375,0.02205526449423451
full_token_uniform,17531,short,False,long,4,21806, Answer,31.59375,0.004006985471705124
full_token_uniform,17531,short,False,long,5,315, of,15.90625,0.0020173645945577726
full_token_uniform,17531,short,False,long,6,510,:\n,14.84375,0.0018826093957071551
full_token_uniform,17531,short,False,long,7,1124, \,13.9375,0.0017676711378639815
full_token_uniform,17531,short,False,long,8,2533,]\n\n,13.9296875,0.0017666802908136094
full_token_uniform,17531,short,False,long,9,271,\n\n,13.59375,0.0017240738676476053
full_token_uniform,17531,short,False,long,10,198,\n,13.40625,0.0017002935384386728
full_token_uniform,17531,short,False,long,11,8515, Alex,11.1796875,0.0014179021290825994
full_token_uniform,17531,short,False,long,12,8356, fixed,10.796875,0.0013693506236143623
full_token_uniform,17531,short,False,long,13,256,  ,10.4296875,0.0013227808122468696
full_token_uniform,17531,short,False,long,14,54815,Therefore,10.265625,0.0013019730241890536
full_token_uniform,17531,short,False,long,15,29068, appet,10.234375,0.0012980096359875648
full_token_uniform,17531,short,False,long,16,4226, answer,9.78125,0.001240540507065978
full_token_uniform,17531,short,False,long,17,6292,uate,9.71875,0.0012326137306630006
full_token_uniform,17531,short,False,long,18,481, -,9.078125,0.0011513642725324812
full_token_uniform,17531,short,False,long,19,3135,izer,6.71875,0.0008521284633200807
full_token_uniform,17531,short,False,long,20,49677, eats,6.609375,0.0008382566046148701
